!CSV A.01.01
!Keysight Technologies,N5224B,MY57181201,A.12.70.07
!Date: Friday, July 15, 2022 11:50:41
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S12(DB),S12(DEG)
32285000000,-22.262094,-24.947874
32340000000,-22.177988,107.6581
32395000000,-21.948532,-121.98684
32450000000,-22.197222,8.7621956
32505000000,-22.18895,139.51973
32560000000,-21.938787,-88.804863
32615000000,-22.065384,42.032757
32670000000,-22.328354,173.01521
32725000000,-22.070217,-53.556366
32780000000,-22.353859,78.854782
32835000000,-21.998301,-150.70737
32890000000,-22.338169,-20.09761
32945000000,-22.512674,111.91992
33000000000,-21.975988,-116.14272
END

