!CSV A.01.01
!Keysight Technologies,N5224B,MY57181201,A.12.70.07
!Date: Wednesday, July 20, 2022 17:00:50
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S12(DB),S12(DEG)
20000000000,-63.872746,-127.14296
20065000000,-58.533047,6.5312376
20130000000,-58.75304,41.365257
20195000000,-58.616886,131.12105
20260000000,-56.125198,-150.33174
20325000000,-54.767532,-94.998207
20390000000,-62.4804,17.142847
20455000000,-68.708191,73.211006
20520000000,-62.064148,-165.61023
20585000000,-56.526249,-32.149273
20650000000,-55.661377,1.4415897
20715000000,-56.127445,73.072365
20780000000,-58.674149,152.76976
20845000000,-58.662838,-138.50638
20910000000,-57.589417,-21.245012
20975000000,-64.200104,34.578876
21040000000,-57.921829,157.73018
21105000000,-53.15062,-134.04947
21170000000,-54.347271,-66.68866
21235000000,-56.963882,13.463511
21300000000,-53.676353,100.04723
21365000000,-59.907028,160.45543
21430000000,-58.830082,-106.43034
21495000000,-53.835743,-16.997543
21560000000,-57.389629,60.547386
21625000000,-56.920963,172.44795
21690000000,-53.89204,-120.55585
21755000000,-59.889824,-36.067223
21820000000,-57.928638,37.612144
21885000000,-56.387623,145.95206
21950000000,-55.434856,-121.09241
22015000000,-53.780952,-43.558079
22080000000,-54.646748,19.723627
22145000000,-57.809612,96.989281
22210000000,-54.114109,176.48944
22275000000,-55.84547,-92.179398
22340000000,-58.57452,-18.866215
22405000000,-55.989326,52.264191
22470000000,-58.938267,163.086
22535000000,-59.651039,-87.249718
22600000000,-62.287876,-39.077133
22665000000,-56.960445,79.756248
22730000000,-54.154026,143.10445
22795000000,-56.381504,-164.80196
22860000000,-68.371353,-78.307465
22925000000,-59.744431,93.21788
22990000000,-62.713436,129.75673
23055000000,-57.708801,-114.14164
23120000000,-56.050095,-60.210979
23185000000,-58.940128,8.490344
23250000000,-60.44659,79.879837
23315000000,-65.811676,178.84103
23380000000,-63.929897,-49.993797
23445000000,-60.555786,26.497869
23510000000,-59.476196,127.26031
23575000000,-62.84713,-167.24501
23640000000,-60.077045,-71.88237
23705000000,-59.051846,36.755524
23770000000,-58.814445,94.673553
23835000000,-64.60746,-161.64406
23900000000,-63.93132,-13.548211
23965000000,-56.075768,16.213871
24030000000,-59.36689,102.00237
24095000000,-56.68124,173.85399
24160000000,-59.286018,-109.87092
24225000000,-60.434303,-43.866188
24290000000,-68.562202,87.51828
24355000000,-57.254513,176.81689
24420000000,-60.499458,-98.557892
24485000000,-59.67429,-31.979452
24550000000,-62.598038,56.287182
24615000000,-61.128998,130.26164
24680000000,-65.688141,-166.45282
24745000000,-78.579124,-39.070774
24810000000,-57.810001,58.623379
24875000000,-60.127876,139.33464
24940000000,-60.067574,-154.22472
25005000000,-57.257717,-80.19664
25070000000,-60.549915,-25.896612
25135000000,-71.777267,42.486782
25200000000,-63.688248,145.46548
25265000000,-66.64386,160.80724
25330000000,-68.759163,-11.515427
25395000000,-61.794254,45.671001
25460000000,-70.100143,110.73122
25525000000,-59.323338,-130.36052
25590000000,-60.630516,-100.69837
25655000000,-66.238213,-19.584707
25720000000,-62.6451,63.706165
25785000000,-62.837585,166.73146
25850000000,-66.065262,-152.13974
25915000000,-62.322216,21.536077
25980000000,-73.13958,41.526188
26045000000,-61.197674,134.34128
26110000000,-65.068192,-158.11148
26175000000,-62.96249,-99.212578
26240000000,-63.121967,4.9831519
26305000000,-65.714592,97.415291
26370000000,-67.391899,147.18066
26435000000,-64.649864,-84.105293
26500000000,-66.188248,-9.2085114
26565000000,-64.614838,64.659447
26630000000,-66.912125,-106.20785
26695000000,-63.341915,-114.94487
26760000000,-62.080448,-38.557384
26825000000,-84.327538,22.297482
26890000000,-64.972099,-179.69986
26955000000,-61.886032,-108.62254
27020000000,-61.736881,-56.930061
27085000000,-64.161491,39.601715
27150000000,-68.9645,153.32182
27215000000,-58.208759,-100.65239
27280000000,-62.646591,-43.588734
27345000000,-60.371666,15.235081
27410000000,-68.314644,77.067017
27475000000,-61.437328,-108.87202
27540000000,-70.485268,-86.971764
27605000000,-56.132694,46.673668
27670000000,-60.897312,130.55174
27735000000,-59.018459,-165.61656
27800000000,-64.419594,-73.467239
27865000000,-61.192104,-1.7422308
27930000000,-61.253025,100.2397
27995000000,-61.057076,-149.8434
28060000000,-56.551773,-63.027523
28125000000,-60.563278,4.4876394
28190000000,-62.110401,94.865913
28255000000,-63.310608,-166.28729
28320000000,-61.267006,-66.912315
28385000000,-59.135845,25.516235
28450000000,-58.27858,112.46188
28515000000,-57.930523,-167.58897
28580000000,-59.795742,-92.889961
28645000000,-62.601425,-6.2793674
28710000000,-61.119011,109.72813
28775000000,-59.47562,-177.49568
28840000000,-57.924232,-88.015915
28905000000,-54.903347,1.5190933
28970000000,-57.165028,71.646164
29035000000,-59.071438,162.16536
29100000000,-57.432701,-117.31875
29165000000,-59.290585,-27.065741
29230000000,-59.360546,73.705757
29295000000,-57.659718,143.28262
29360000000,-55.780643,-131.87675
29425000000,-59.78767,-35.487862
29490000000,-59.934341,44.108906
29555000000,-57.667328,140.63853
29620000000,-58.975212,-148.49297
29685000000,-59.707809,-38.849773
29750000000,-59.952183,25.254597
29815000000,-55.70475,133.0088
29880000000,-57.260757,-150.41484
29945000000,-58.615101,-73.687881
30010000000,-59.971691,8.6684437
30075000000,-57.801544,87.774025
30140000000,-60.243702,-147.3656
30205000000,-67.777451,-94.411552
30270000000,-60.246639,19.948025
30335000000,-59.589737,109.22727
30400000000,-62.314224,163.65063
30465000000,-59.196022,-91.664291
30530000000,-60.911659,31.81315
30595000000,-67.122559,136.06746
30660000000,-64.761513,-130.13492
30725000000,-57.713501,-69.829025
30790000000,-60.344551,14.223857
30855000000,-73.909775,146.33327
30920000000,-62.652016,-162.62201
30985000000,-60.330841,-74.116455
31050000000,-59.192768,22.550415
31115000000,-57.882278,98.269257
31180000000,-60.479942,-177.37234
31245000000,-57.874439,-79.562737
31310000000,-59.036083,5.8953052
31375000000,-59.881683,103.2589
31440000000,-59.349346,179.87038
31505000000,-63.004208,-77.580292
31570000000,-58.412033,-21.045235
31635000000,-61.201603,85.675041
31700000000,-63.073891,164.92018
31765000000,-73.42907,-126.17809
31830000000,-62.082443,-2.4966829
31895000000,-62.514771,86.371765
31960000000,-65.128151,128.3194
32025000000,-59.998505,-115.26591
32090000000,-66.003456,-23.870049
32155000000,-68.008911,114.28722
32220000000,-64.749474,168.89655
32285000000,-67.7621,-106.76898
32350000000,-64.782806,21.486004
32415000000,-63.347389,99.611916
32480000000,-61.726212,171.1266
