!CSV A.01.01
!Keysight Technologies,N5224B,MY57181201,A.12.70.07
!Date: Wednesday, July 20, 2022 17:08:28
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S12(DB),S12(DEG)
17000000000,-61.425877,-21.628029
17080000000,-58.975178,-8.7524824
17160000000,-55.092876,31.921139
17240000000,-51.424873,57.419754
17320000000,-48.194374,76.919113
17400000000,-44.480427,90.645638
17480000000,-39.68745,104.29942
17560000000,-34.869759,120.38356
17640000000,-32.464554,126.21003
17720000000,-28.943352,123.22492
17800000000,-26.44334,121.89024
17880000000,-25.666368,123.08483
17960000000,-25.836096,125.28104
18040000000,-25.706619,131.35901
18120000000,-25.409674,145.30666
18200000000,-26.593832,159.13428
18280000000,-26.66153,175.08549
18360000000,-26.239983,-172.168
18440000000,-26.375252,-151.70631
18520000000,-26.072031,-133.11168
18600000000,-26.324503,-115.34063
18680000000,-25.961115,-100.86781
18760000000,-25.468878,-78.088539
18840000000,-25.427286,-58.598244
18920000000,-25.66243,-40.273899
19000000000,-25.909985,-23.358831
19080000000,-25.527,-3.1208897
19160000000,-25.561653,19.750757
19240000000,-26.102257,38.630451
19320000000,-25.667292,61.061939
19400000000,-25.322802,83.590576
19480000000,-25.319313,107.62769
19560000000,-25.599621,129.0303
19640000000,-25.246761,150.63261
19720000000,-24.733685,172.80508
19800000000,-24.89394,-164.75362
19880000000,-24.840801,-141.70097
19960000000,-24.839424,-120.52984
20040000000,-24.846313,-96.590462
20120000000,-24.770367,-73.58886
20200000000,-24.82522,-51.89048
20280000000,-25.00128,-28.37812
20360000000,-24.972473,-4.0029526
20440000000,-25.108072,19.183949
20520000000,-25.077858,44.390831
20600000000,-25.093697,67.077629
20680000000,-25.060785,92.172234
20760000000,-24.866756,118.19551
20840000000,-25.113073,141.91489
20920000000,-25.132921,166.18933
21000000000,-24.943378,-168.5867
21080000000,-24.622622,-143.24977
21160000000,-24.765276,-117.72444
21240000000,-24.675125,-92.82412
21320000000,-24.54995,-69.208115
21400000000,-24.503057,-42.758755
21480000000,-24.289564,-17.016216
21560000000,-24.420702,7.0036712
21640000000,-24.182472,32.391155
21720000000,-24.173052,57.232037
21800000000,-24.164804,82.678246
21880000000,-24.356607,106.9614
21960000000,-23.843502,133.25169
22040000000,-23.913355,157.7274
22120000000,-24.430279,-174.91571
22200000000,-24.074522,-150.60201
22280000000,-24.040279,-127.185
22360000000,-24.347334,-96.841042
22440000000,-23.93891,-74.015289
22520000000,-24.024694,-47.79776
22600000000,-23.898146,-21.876942
22680000000,-23.63517,6.0992846
22760000000,-23.86834,31.446867
22840000000,-23.80374,56.666279
22920000000,-23.917246,83.90313
23000000000,-23.64533,108.87228
23080000000,-23.518812,134.96255
23160000000,-23.890192,161.24814
23240000000,-23.916399,-174.73102
23320000000,-23.344696,-147.19385
23400000000,-23.189247,-120.11892
23480000000,-23.542004,-93.999306
23560000000,-23.44878,-66.384689
23640000000,-23.357031,-41.143181
23720000000,-23.462879,-13.665543
23800000000,-23.314411,12.941565
23880000000,-23.624531,39.557209
23960000000,-23.555616,65.440872
24040000000,-23.714058,92.39743
24120000000,-23.699348,120.49979
24200000000,-23.76647,144.7876
24280000000,-23.887234,172.03223
24360000000,-23.809883,-158.45898
24440000000,-23.657362,-133.16328
24520000000,-23.76185,-106.64625
24600000000,-23.588923,-77.725189
24680000000,-23.380163,-49.173672
24760000000,-23.521606,-23.551811
24840000000,-23.618002,2.4628861
24920000000,-23.388472,33.449509
25000000000,-23.339182,59.449112
25080000000,-23.750166,87.474319
25160000000,-23.356146,114.55376
25240000000,-23.315422,140.84456
25320000000,-23.204248,168.82689
25400000000,-23.220734,-165.20137
25480000000,-23.269827,-136.23402
25560000000,-23.110056,-109.32918
25640000000,-23.230661,-82.790108
25720000000,-23.169514,-54.042767
25800000000,-23.085295,-26.757008
25880000000,-23.147919,1.5529214
25960000000,-23.435946,28.784292
26040000000,-23.367096,56.521496
26120000000,-23.208897,83.436287
26200000000,-23.716745,111.54053
26280000000,-23.748001,139.09447
26360000000,-23.082811,163.4169
26440000000,-23.539375,-167.77061
26520000000,-23.430889,-136.91182
26600000000,-23.033876,-110.71716
26680000000,-23.123089,-82.265823
26760000000,-22.80809,-54.164379
26840000000,-22.984343,-25.876789
26920000000,-22.642057,3.5655105
27000000000,-22.819237,28.754423
27080000000,-22.745237,57.066975
27160000000,-22.492008,83.155006
27240000000,-22.44763,112.68915
27320000000,-22.622955,137.86482
27400000000,-22.593355,166.27585
27480000000,-22.226357,-167.13747
27560000000,-22.662977,-139.81497
27640000000,-22.38102,-109.80482
27720000000,-21.959135,-84.598557
27800000000,-22.165907,-57.519119
27880000000,-22.296371,-24.996178
27960000000,-21.947496,2.2115645
28040000000,-22.256821,28.146368
28120000000,-22.475628,57.934616
28200000000,-22.353172,85.854179
28280000000,-22.635048,113.2632
28360000000,-22.683767,140.64282
28440000000,-22.603016,169.57213
28520000000,-22.707062,-163.15575
28600000000,-22.980698,-134.00728
28680000000,-22.993519,-105.98602
28760000000,-22.7754,-78.502869
28840000000,-22.650814,-49.612556
28920000000,-22.709206,-20.661644
29000000000,-22.785946,7.9418974
29080000000,-22.415667,36.221951
29160000000,-22.716429,64.015572
29240000000,-22.938841,94.280579
29320000000,-22.670652,122.06618
29400000000,-22.7728,149.84782
29480000000,-22.927044,-178.95207
29560000000,-22.626989,-151.71852
29640000000,-22.658644,-125.34219
29720000000,-22.610088,-96.819763
29800000000,-22.566843,-67.430923
29880000000,-22.243147,-42.184132
29960000000,-22.482885,-14.209123
30040000000,-22.000128,17.238169
30120000000,-21.908398,44.430462
30200000000,-22.099382,72.280197
30280000000,-21.993784,102.11547
30360000000,-22.140923,129.73238
30440000000,-21.966707,158.24831
30520000000,-21.979645,-174.32219
30600000000,-21.996838,-145.41054
30680000000,-21.99651,-116.85841
30760000000,-22.246248,-88.711182
30840000000,-22.279184,-59.638206
30920000000,-22.020203,-32.298794
31000000000,-22.0907,-2.8728604
31080000000,-22.467505,25.574482
31160000000,-22.147223,54.991398
31240000000,-21.991077,81.328926
31320000000,-21.968204,110.96513
31400000000,-21.74119,141.41037
31480000000,-21.805779,168.76901
31560000000,-22.107182,-162.87755
31640000000,-22.134529,-135.31496
31720000000,-21.963861,-106.65618
31800000000,-22.158083,-77.572845
31880000000,-21.954073,-49.209446
31960000000,-21.698206,-20.060713
32040000000,-21.756313,11.093841
32120000000,-21.719545,40.666698
32200000000,-21.9629,64.060326
32280000000,-21.977831,94.51342
32360000000,-22.266409,123.67952
32440000000,-22.231689,150.47557
32520000000,-22.082909,178.98274
32600000000,-22.089508,-151.35353
32680000000,-22.303633,-121.42469
32760000000,-22.188723,-94.213654
32840000000,-21.805031,-65.154617
32920000000,-22.319075,-34.756622
33000000000,-22.100416,-6.8074541
END

