f_GHz,mu,epsilon
29.04,129278957.391233+41667359.9232653i,0.745487215933668-0.240464929211039i
29.095,124222091.091716+36426721.6189931i,0.785665826250856-0.230551950614929i
29.15,136509194.044707+54783032.5376119i,0.666201834402565-0.267486053475812i
29.205,136598161.454349+68985025.9676986i,0.61356316557236-0.31003448806272i
29.26,145918023.997058+75234706.9938849i,0.567324324396952-0.292676403574218i
29.315,141252512.161783+63317451.7874649i,0.615432712569791-0.276047299302564i
29.37,136282191.986663+64447211.4382702i,0.623705125015843-0.295133881853202i
29.425,148952326.219297+53502144.8286108i,0.616160605730606-0.221489569769848i
29.48,125029872.492486+23032866.6748005i,0.798652094846145-0.14725385910806i
29.535,130742398.034478+60413896.2823393i,0.648278359265235-0.299699301096016i
29.59,151707918.53822+61681315.3885328i,0.579651863946882-0.235789266684856i
29.645,147468717.628567+58726541.7240799i,0.597549573186322-0.238103237256734i
29.7,142034090.113817+48852856.2383789i,0.640396660062935-0.220396357436542i
29.755,145016245.767645+84377947.2137196i,0.522031150870009-0.303924618845077i
29.81,163024274.085378+44751126.6397839i,0.575935419789431-0.158230904748042i
29.865,130302089.616217+21344435.60132i,0.751899187446441-0.123261618284491i
29.92,141982153.586807+44396851.1931297i,0.643078800388755-0.201189565005813i
29.975,152059129.833545+52373705.0323574i,0.587076831127873-0.202325076890371i
30.03,146710990.757712+47577750.2806476i,0.613656513767867-0.199113616968581i
30.085,149566286.592276+53008031.3942621i,0.588862762708593-0.2088014475071i
30.14,156499275.485186+64350924.8451666i,0.539840509295963-0.222119092632423i
30.195,162443771.227933+42152223.8260853i,0.567604668046697-0.147393992229623i
30.25,138613369.352058+22478377.8595769i,0.689324428050075-0.111854712148901i
30.305,145798167.795981+38434518.6666902i,0.62659134489982-0.165276157033983i
30.36,143540872.869593+22211170.5752336i,0.662370003848614-0.102570853025452i
30.415,132098389.49292+33955193.4352499i,0.688815925503179-0.177159341462703i
30.47,154850893.107336+55005816.9363085i,0.554208583016274-0.196972625086395i
30.525,157474923.111321+37313707.9338361i,0.579027281758521-0.137287460202566i
30.58,146422313.127599+31561366.6823148i,0.626269260712793-0.135067645154542i
30.635,162991095.484638+43610061.4078368i,0.547415610090289-0.146558857478455i
30.69,142253647.893945+10980169.0599863i,0.665784173450164-0.0514416237233788i
30.745,129100100.334136+23415106.1862536i,0.711952662130715-0.129200845625245i
30.8,151949204.65234+46600370.7650609i,0.569005530607988-0.174598813823726i
30.855,140075386.116435+25225860.3919824i,0.651785317484587-0.117457417580054i
30.91,142882404.065799+41884232.7192294i,0.605332816888335-0.177530105655604i
30.965,163890872.234494+36750595.5551637i,0.543707321171903-0.121988507784081i
31.02,153558057.527724+26300245.8827515i,0.590017342319748-0.101123313048867i
31.075,146794126.919618+11384335.0308309i,0.629291472537198-0.0488321406905578i
31.13,137243222.6312+18197445.0612736i,0.663107295916024-0.0879605432211085i
31.185,155594594.068787+36712853.4518581i,0.561775244734402-0.132618413922077i
31.24,139690782.448254+23491670.0513119i,0.640171258256194-0.1077122181082i
31.295,140014345.516946+50773584.8769697i,0.578367551619627-0.209830767743401i
31.35,174350428.338896+43427735.0064204i,0.493102910089661-0.122885927100035i
31.405,140602384.866415+13897991.7831596i,0.640902433368149-0.0634049609895546i
31.46,150109614.185179+26674614.2907746i,0.585564296676096-0.104100007637478i
31.515,148678150.556372+10719778.0692455i,0.604605998228186-0.043616369148118i
31.57,126143590.610651+12978999.6213378i,0.70638542873234-0.0727238018499703i
31.625,144311640.903662+31434566.0631369i,0.59363049482564-0.129371389230649i
31.68,147631324.403803+23618676.0093711i,0.590592375264265-0.0945285105273591i
31.735,158293982.349141+39891459.7183296i,0.529327557396233-0.133426878250849i
31.79,156481394.528801+25530229.9845512i,0.552794274362104-0.0902401020403941i
31.845,164962053.27475+37315976.8112584i,0.51033595656789-0.115491527135349i
31.9,143287467.831284+6688661.33158065i,0.614183802438446-0.0286819154652033i
31.955,131362268.126149+17179333.199034i,0.657845644152904-0.0860813811061547i
32.01,147055866.40503+24832936.3608957i,0.57911102388585-0.0978361165383599i
32.065,138689151.311709+17519155.7315117i,0.61952210754364-0.0782878264288385i
32.12,140487014.955065+24308952.8486974i,0.601236650053083-0.104069293598836i
32.175,155031789.999969+37770320.5051835i,0.527866338968496-0.128653750186068i
32.23,158363779.350809+20379460.9260127i,0.536683432040419-0.0690899379750835i
32.285,134794248.561995+10957929.2498014i,0.634620900115418-0.0516103234780987i
32.34,145969769.658531+27024251.8019462i,0.568406657431852-0.105270825669563i
32.395,155912727.914248+18897035.9314906i,0.54059679711325-0.0655424240704891i
32.45,129983744.456198+11795095.2882876i,0.650405358984375-0.0590243201735944i
32.505,148105882.685834+26813551.1708021i,0.555364880353956-0.100573491571237i
32.56,134867380.686541+18467479.1201419i,0.616202216182383-0.0843988718165453i
32.615,152864330.362836+29453509.226944i,0.532196583983437-0.102594588677846i
32.67,142277908.285537+9847231.29162737i,0.588221820990171-0.0407300368345893i
32.725,138042734.249138+19146550.0646642i,0.595698041064488-0.0826386810685165i
32.78,145067652.406002+10377237.8667758i,0.572882995361085-0.0410068952491988i
32.835,142168194.509936+16516256.8092588i,0.577795606743328-0.0671336697855819i
32.89,147737417.386284+20537305.3258293i,0.550975179491984-0.0766034157430865i
32.945,132462059.102216+18062143.1894274i,0.612926419147803-0.0835897705935042i
33,149165361.103908+33667372.6263339i,0.525760611356757-0.118731885348702i
